# 全唐诗 + 宋词 的作者名录，来自 chinese-poetry（公有领域原文）。
# works = 上游收录篇数；on_site = 本站已有篇数。用来挑该补谁。
collection	author	works	on_site
唐诗	姚鹄	38	0
唐诗	崔橹	38	0
唐诗	李远	37	0
唐诗	李昌符	37	0
唐诗	良价	37	0
唐诗	沈彬	36	3
唐诗	唐求	36	0
唐诗	尚颜	36	0
唐诗	杨炯	35	0
唐诗	刘方平	34	9
唐诗	上官仪	34	1
唐诗	李华	34	1
唐诗	李百药	34	2
唐诗	雍裕之	34	1
唐诗	于邺	34	0
唐诗	上官昭容	33	33
唐诗	僧贯休	33	30
唐诗	林宽	33	0
唐诗	颜真卿	33	0
唐诗	卢象	33	0
唐诗	元阳子	33	0
唐诗	裴度	32	1
唐诗	沈亚之	32	0
唐诗	殷文圭	32	0
唐诗	毛文锡	32	0
唐诗	熊孺登	31	0
唐诗	孟贯	31	0
唐诗	清昼	31	0
唐诗	修睦	31	0
唐诗	王希明	31	0
唐诗	智闲	31	0
唐诗	文偃	31	0
唐诗	郑愔	30	1
唐诗	李廓	30	10
唐诗	韩琮	30	0
唐诗	来鹄	30	0
唐诗	朱放	29	1
唐诗	张南史	29	0
唐诗	郑巢	29	0
唐诗	苏拯	29	0
唐诗	毛熙震	29	0
唐诗	李翔	29	0
唐诗	裴迪	29	1
唐诗	刘叉	28	0
唐诗	张又新	28	0
唐诗	成彦雄	28	0
唐诗	刘宪	27	1
唐诗	刘威	27	0
唐诗	子兰	27	0
唐诗	窦常	26	0
唐诗	章谒	26	0
唐诗	綦毋潜	26	1
唐诗	杨师道	25	1
唐诗	贺知章	25	1
唐诗	朱湾	25	0
唐诗	李九龄	25	0
唐诗	郭震	24	0
唐诗	周繇	24	0
唐诗	敦煌人作品[一]	24	0
唐诗	窦群	23	0
唐诗	晁采	23	0
唐诗	道镜　善导	23	0
唐诗	浙东众诗人	23	0
唐诗	契此	23	0
唐诗	杨行真人	23	0
唐诗	菩提达摩	23	0
唐诗	乔知之	22	3
唐诗	长孙佐辅	22	3
唐诗	崔融	22	1
唐诗	孟云卿	22	2
唐诗	董思恭	22	2
唐诗	张子容	22	2
唐诗	陆希声	22	0
唐诗	伍乔	22	0
唐诗	清江	22	0
唐诗	景岑	22	0
唐诗	杨凌	21	1
唐诗	窦牟	21	0
唐诗	窦庠	21	0
唐诗	任翻	21	0
唐诗	灵澈	21	0
唐诗	魏承班	21	0
唐诗	赵彦昭	21	0
唐诗	王棨	21	0
唐诗	慧能	21	0
唐诗	郏滂	21	0
唐诗	陶翰	20	1
唐诗	张碧	20	0
唐诗	郑畋	20	1
唐诗	许彬	20	0
唐诗	卢延让	20	0
唐诗	栖白	20	0
唐诗	虚中	20	0
唐诗	赵冬曦	20	0
唐诗	钱镠	20	0
唐诗	王翰	19	4
唐诗	王毂	19	1
唐诗	包何	19	0
唐诗	杨凭	19	0
唐诗	张志和	19	0
唐诗	王初	19	0
唐诗	李适	19	0
唐诗	崔珏	19	0
唐诗	喻坦之	19	0
唐诗	胡宿	19	0
唐诗	詹敦仁	19	0
唐诗	李冶	19	0
唐诗	薛昭蕴	19	0
唐诗	畅当	18	0
唐诗	孟迟	18	0
唐诗	张贲	18	0
唐诗	王仁裕	18	0
唐诗	朱存	18	0
唐诗	郑遨	18	0
唐诗	尹鹗	18	0
唐诗	丘为	18	1
唐诗	刘眘虚	17	2
唐诗	丁仙芝	17	1
唐诗	阎朝隐	17	2
唐诗	朱景玄	17	0
唐诗	江为	17	0
唐诗	法振	17	0
唐诗	广宣	17	0
唐诗	从谂	17	0
唐诗	孙宗闵	17	0
唐诗	德宗皇帝	16	15
唐诗	僧齐己	16	12
唐诗	僧皎然	16	14
唐诗	武平一	16	1
唐诗	刘复	16	0
唐诗	崔液	16	0
唐诗	苏味道	16	0
唐诗	刘昭禹	16	0
唐诗	李煜	16	0
唐诗	崔曙	16	1
唐诗	梁锽	16	0
唐诗	崔日用	15	1
唐诗	薛稷	15	1
唐诗	翁绶	15	5
唐诗	韦处厚	15	0
唐诗	裴潾	15	0
唐诗	褚载	15	0
唐诗	孟宾于	15	0
唐诗	许坚	15	0
唐诗	蒋吉	15	0
唐诗	陈抟	15	0
唐诗	殷济	15	0
唐诗	武则天	14	11
唐诗	赵光逢、张衮	14	14
唐诗	庄南杰	14	4
唐诗	薛据	14	0
唐诗	王季友	14	0
唐诗	陈子良	14	0
唐诗	卢殷	14	0
唐诗	蒋防	14	0
唐诗	杨发	14	0
唐诗	王涣	14	0
唐诗	杨夔	14	0
唐诗	文益	14	0
唐诗	卢僎	14	0
唐诗	白元鉴	14	0
唐诗	本寂	14	0
唐诗	泰钦	14	0
唐诗	韩蕴中	14	0
唐诗	李舒	13	13
唐诗	李约	13	3
唐诗	李纾	13	0
唐诗	常衮	13	0
唐诗	柳中庸	13	1
唐诗	丘丹	13	0
唐诗	陈去疾	13	0
唐诗	崔涯	13	0
唐诗	陈标	13	0
唐诗	薛莹	13	0
唐诗	翁洮	13	0
